X,Y,ID,fk_region,ELEV,NAME,USE,icon_url
-162.975280750575,67.5620803854261,"1","18",78.000,NOATAK,Other,./0.png
-157.853607169639,67.1061096205107,"2","18",264.000,AMBLER,Other,./0.png
-151.528060908679,66.9152832037312,"3","26",585.000,BETTLES,Other,./0.png
-162.598556507435,66.8846817038772,"4","18",9.000,RALPH WIEN MEM,Civilian/Public,./0.png
-159.986190786326,66.6000289935082,"5","18",21.000,SELAWIK,Other,./0.png
-153.704284662022,65.992790223137,"6","26",1113.000,INDIAN MOUNTAIN LRRS,Other,./0.png
-161.151977528563,65.9822845480546,"7","18",21.000,BUCKLAND,Other,./0.png
-167.922500595441,65.5641632117807,"8","16",243.000,TIN CITY LRRS,Other,./0.png
-161.27999876853,65.4049987816145,"9","16",1329.000,GRANITE MOUNTAIN AFS,Other,./0.png
-166.85852049347,65.253669742378,"10","16",9.000,PORT CLARENCE CGS,Other,./0.png
-152.109390253516,65.1743927010713,"11","26",207.000,RALPH M CALHOUN,Other,./0.png
-161.158050526266,64.9344406152001,"12","16",108.000,KOYUK,Other,./0.png
-156.937499991714,64.7361145036122,"13","26",138.000,EDWARD G PITKA SR,Joint Military/Civilian,./0.png
-162.057220447497,64.6980590846866,"14","16",12.000,MOSES POINT,Other,./0.png
-165.44525145115,64.5121994053481,"15","16",33.000,NOME,Civilian/Public,./0.png
-156.843338004366,64.4244461076597,"16","26",1461.000,KALAKAKET CREEK  AS,Military,./0.png
-160.798950184351,63.888362887112,"17","16",18.000,UNALAKLEET,Other,./0.png
-152.300674432686,63.8805542002972,"18","26",624.000,MINCHUMINA,Other,./0.png
-171.732833844416,63.766777044103,"19","16",24.000,GAMBELL,Other,./0.png
-170.492645246524,63.6863899282735,"20","16",48.000,SAVOONGA,Other,./0.png
-155.60577391773,62.9528884905359,"21","26",306.000,MC GRATH,Civilian/Public,./0.png
-155.976394645025,62.8944435138084,"22","26",858.000,TATALINA LRRS,Other,./0.png
-164.491104112311,62.7852783240986,"23","24",12.000,EMMONAK,Other,./0.png
-160.189895618895,62.648582461264,"24","26",282.000,ANVIK,Other,./0.png
-150.093688959825,62.3204994211504,"25","15",327.000,TALKEETNA,Civilian/Public,./0.png
-163.302215563019,62.0605545080883,"26","24",282.000,ST MARYS,Other,./0.png
-166.038894638333,61.7802772567438,"27","24",417.000,CAPE ROMANZOF LRRS,Other,./0.png
-159.543045033011,61.5815963773998,"28","4",78.000,ANIAK,Other,./0.png
-155.574722281406,61.0972213766408,"29","4",1449.000,SPARREVOHN LRRS,Other,./0.png
-161.837997423874,60.7797775305361,"30","4",111.000,BETHEL,Civilian/Public,./0.png
-151.247528069946,60.5719985976102,"31","11",87.000,KENAI MUNI,Civilian/Public,./0.png
-151.038253778044,60.4749832167309,"32","11",96.000,SOLDOTNA,Other,./0.png
-166.270614608417,60.3714180043726,"33","4",42.000,MEKORYUK,Other,./0.png
-145.250549315259,66.5713882447535,"34","26",393.000,FORT YUKON,Other,./0.png
